  V_V1                  I(D1)                
  -6.000000000000e-001  -1.411060027929e-008  
  -5.900000000000e-001  -1.411059027929e-008  
  -5.800000000000e-001  -1.411058027929e-008  
  -5.700000000000e-001  -1.411057027929e-008  
  -5.600000000000e-001  -1.411056027929e-008  
  -5.500000000000e-001  -1.411055027929e-008  
  -5.400000000000e-001  -1.411054027929e-008  
  -5.300000000000e-001  -1.411053027929e-008  
  -5.200000000000e-001  -1.411052027929e-008  
  -5.100000000000e-001  -1.410982919111e-008  
  -5.000000000000e-001  -1.410967264755e-008  
  -4.900000000000e-001  -1.410948457353e-008  
  -4.800000000000e-001  -1.410925818494e-008  
  -4.700000000000e-001  -1.410898523799e-008  
  -4.600000000000e-001  -1.410865571512e-008  
  -4.500000000000e-001  -1.410825744341e-008  
  -4.400000000000e-001  -1.410777563081e-008  
  -4.300000000000e-001  -1.410719230256e-008  
  -4.200000000000e-001  -1.410648561648e-008  
  -4.100000000000e-001  -1.410562903076e-008  
  -4.000000000000e-001  -1.410459029288e-008  
  -3.900000000000e-001  -1.410333021080e-008  
  -3.800000000000e-001  -1.410180115990e-008  
  -3.700000000000e-001  -1.409994526859e-008  
  -3.600000000000e-001  -1.409769221358e-008  
  -3.500000000000e-001  -1.409495654078e-008  
  -3.400000000000e-001  -1.409163440968e-008  
  -3.300000000000e-001  -1.408759963737e-008  
  -3.200000000000e-001  -1.408269889130e-008  
  -3.100000000000e-001  -1.407674584776e-008  
  -3.000000000000e-001  -1.406951409345e-008  
  -2.900000000000e-001  -1.406072849975e-008  
  -2.800000000000e-001  -1.405005474115e-008  
  -2.700000000000e-001  -1.403708655833e-008  
  -2.600000000000e-001  -1.402133028083e-008  
  -2.500000000000e-001  -1.400218601962e-008  
  -2.400000000000e-001  -1.397892481296e-008  
  -2.300000000000e-001  -1.395066085504e-008  
  -2.200000000000e-001  -1.391631774925e-008  
  -2.100000000000e-001  -1.387458750046e-008  
  -2.000000000000e-001  -1.382388068414e-008  
  -1.900000000000e-001  -1.376226589363e-008  
  -1.800000000000e-001  -1.368739615909e-008  
  -1.700000000000e-001  -1.359641953440e-008  
  -1.600000000000e-001  -1.348587044611e-008  
  -1.500000000000e-001  -1.335153766473e-008  
  -1.400000000000e-001  -1.318830386872e-008  
  -1.300000000000e-001  -1.298995068889e-008  
  -1.200000000000e-001  -1.274892180594e-008  
  -1.100000000000e-001  -1.245603507588e-008  
  -1.000000000000e-001  -1.210013271606e-008  
  -9.000000000000e-002  -1.166765622497e-008  
  -8.000000000000e-002  -1.114212984126e-008  
  -7.000000000000e-002  -1.050353286346e-008  
  -6.000000000000e-002  -9.727536917335e-009  
  -5.000000000000e-002  -8.784579113021e-009  
  -4.000000000000e-002  -7.638735781757e-009  
  -3.000000000000e-002  -6.246353884789e-009  
  -2.000000000000e-002  -4.554387954925e-009  
  -1.000000000000e-002  -2.498379212896e-009  
  0.000000000000e+000  1.314882473820e-016  
  1.000000000000e-002  3.035930948591e-009  
  2.000000000000e-002  6.725073313369e-009  
  3.000000000000e-002  1.120797283014e-008  
  4.000000000000e-002  1.665541502620e-008  
  5.000000000000e-002  2.327493180176e-008  
  6.000000000000e-002  3.131870781369e-008  
  7.000000000000e-002  4.109318800423e-008  
  8.000000000000e-002  5.297075229434e-008  
  9.000000000000e-002  6.740390221508e-008  
  1.000000000000e-001  8.494249994764e-008  
  1.100000000000e-001  1.062547165313e-007  
  1.200000000000e-001  1.321524873072e-007  
  1.300000000000e-001  1.636224443789e-007  
  1.400000000000e-001  2.018635045299e-007  
  1.500000000000e-001  2.483325445924e-007  
  1.600000000000e-001  3.047999043700e-007  
  1.700000000000e-001  3.734168316210e-007  
  1.800000000000e-001  4.567974385661e-007  
  1.900000000000e-001  5.581182922333e-007  
  2.000000000000e-001  6.812394327531e-007  
  2.100000000000e-001  8.308514300595e-007  
  2.200000000000e-001  1.012654081445e-006  
  2.300000000000e-001  1.233573557841e-006  
  2.400000000000e-001  1.502026271490e-006  
  2.500000000000e-001  1.828239517618e-006  
  2.600000000000e-001  2.224641105649e-006  
  2.700000000000e-001  2.706332823812e-006  
  2.800000000000e-001  3.291665774805e-006  
  2.900000000000e-001  4.002939501146e-006  
  3.000000000000e-001  4.867251534924e-006  
  3.100000000000e-001  5.917529737340e-006  
  3.200000000000e-001  7.193786757217e-006  
  3.300000000000e-001  8.744644399721e-006  
  3.400000000000e-001  1.062918597930e-005  
  3.500000000000e-001  1.291920722606e-005  
  3.600000000000e-001  1.570195149845e-005  
  3.700000000000e-001  1.908343350564e-005  
  3.800000000000e-001  2.319247816335e-005  
  3.900000000000e-001  2.818562845107e-005  
  4.000000000000e-001  3.425310924455e-005  
  4.100000000000e-001  4.162607432633e-005  
  4.200000000000e-001  5.058541266152e-005  
  4.300000000000e-001  6.147244942757e-005  
  4.400000000000e-001  7.470194946940e-005  
  4.500000000000e-001  9.077791856307e-005  
  4.600000000000e-001  1.103128044541e-004  
  4.700000000000e-001  1.340508291505e-004  
  4.800000000000e-001  1.628963413266e-004  
  4.900000000000e-001  1.979482689281e-004  
  5.000000000000e-001  2.405419844434e-004  
  5.100000000000e-001  2.923001776644e-004  
  5.200000000000e-001  3.551946738667e-004  
  5.300000000000e-001  4.316215522366e-004  
  5.400000000000e-001  5.244924259489e-004  
  5.500000000000e-001  6.373453608225e-004  
  5.600000000000e-001  7.744796573742e-004  
  5.700000000000e-001  9.411196298081e-004  
  5.800000000000e-001  1.143613619565e-003  
  5.900000000000e-001  1.389675822496e-003  
  6.000000000000e-001  1.686799941674e-003  
  6.100000000000e-001  2.047450310069e-003  
  6.200000000000e-001  2.489432140700e-003  
  6.300000000000e-001  3.026822134971e-003  
  6.400000000000e-001  3.673046970415e-003  
  6.500000000000e-001  4.457236561165e-003  
  6.600000000000e-001  5.417392466616e-003  
  6.700000000000e-001  6.584372582741e-003  
  6.800000000000e-001  7.985750054914e-003  
  6.900000000000e-001  9.685372239410e-003  
  7.000000000000e-001  1.176228511970e-002  
  7.100000000000e-001  1.426923844339e-002  
  7.200000000000e-001  1.731046156870e-002  
  7.300000000000e-001  2.097632555708e-002  
  7.400000000000e-001  2.541841071003e-002  
  7.500000000000e-001  3.080102772570e-002  
  7.600000000000e-001  3.723324225950e-002  
  7.700000000000e-001  4.500838427925e-002  
  7.800000000000e-001  5.440668523808e-002  
  7.900000000000e-001  6.556054487618e-002  
  8.000000000000e-001  7.900009315347e-002  
  8.100000000000e-001  9.493320276041e-002  
  8.200000000000e-001  1.139108677844e-001  
  8.300000000000e-001  1.363662400450e-001  
  8.400000000000e-001  1.628148655377e-001  
  8.500000000000e-001  1.938062958385e-001  
  8.600000000000e-001  2.299126865842e-001  
  8.700000000000e-001  2.717137562285e-001  
